x,y,Width,Height,Score,Label,Person,Image,ImagePath,,Positive
"281","1461","560","268","0.06584","cupcakePaper","Person38","Person38_3","MC2-Image-Data/Person38/Person38_3.jpg","","FALSE"
"591","705","891","600","0.73825","yellowBag","Person38","Person38_3","MC2-Image-Data/Person38/Person38_3.jpg","","TRUE"
"124","270","219","220","0.12429","partyFavor","Person38","Person38_6","MC2-Image-Data/Person38/Person38_6.jpg","","FALSE"
"51","451","102","281","0.17321","partyFavor","Person38","Person38_6","MC2-Image-Data/Person38/Person38_6.jpg","","FALSE"
"590","620","294","204","0.93832","redWhistle","Person38","Person38_6","MC2-Image-Data/Person38/Person38_6.jpg","","TRUE"
"575","692","647","338","0.93135","redDart","Person38","Person38_14","MC2-Image-Data/Person38/Person38_14.jpg","","TRUE"
"68","324","129","198","0.09096","voiceRecorder","Person38","Person38_4","MC2-Image-Data/Person38/Person38_4.jpg","","FALSE"
"69","332","132","211","0.23409","lavenderDie","Person38","Person38_4","MC2-Image-Data/Person38/Person38_4.jpg","","FALSE"
"676","540","1031","1043","0.24608","yellowBag","Person38","Person38_4","MC2-Image-Data/Person38/Person38_4.jpg","","TRUE"
"551","670","756","736","0.20854","rubiksCube","Person38","Person38_11","MC2-Image-Data/Person38/Person38_11.jpg","","TRUE"
"557","562","293","225","0.82693","redWhistle","Person38","Person38_5","MC2-Image-Data/Person38/Person38_5.jpg","","TRUE"
"782","788","672","519","0.18223","redDart","Person38","Person38_16","MC2-Image-Data/Person38/Person38_16.jpg","","TRUE"
"366","538","732","986","0.19023","yellowBag","Person38","Person38_16","MC2-Image-Data/Person38/Person38_16.jpg","","TRUE"
"651","604","390","396","0.79663","rubiksCube","Person38","Person38_16","MC2-Image-Data/Person38/Person38_16.jpg","","TRUE"
"768","564","489","607","0.27318","redDart","Person38","Person38_15","MC2-Image-Data/Person38/Person38_15.jpg","","FALSE"
"1073","1202","234","796","0.39464","rainbowPens","Person38","Person38_15","MC2-Image-Data/Person38/Person38_15.jpg","","FALSE"
"370","1034","408","360","0.93525","redWhistle","Person38","Person38_15","MC2-Image-Data/Person38/Person38_15.jpg","","TRUE"
"613","589","1173","243","0.06957","canadaPencil","Person38","Person38_2","MC2-Image-Data/Person38/Person38_2.jpg","","FALSE"
"612","839","1146","955","0.11139","rainbowPens","Person38","Person38_2","MC2-Image-Data/Person38/Person38_2.jpg","","TRUE"
"600","606","1200","182","0.55875","rainbowPens","Person38","Person38_2","MC2-Image-Data/Person38/Person38_2.jpg","","TRUE"
"1615","900","3231","1800","0.09132","paperPlate","Person11","Person11_25","MC2-Image-Data/Person11/Person11_25.jpg","","TRUE"
"3307","901","1386","1771","0.19035","giftBag","Person11","Person11_9","MC2-Image-Data/Person11/Person11_9.jpg","","FALSE"
"3808","900","383","1800","0.06361","silverStraw","Person11","Person11_23","MC2-Image-Data/Person11/Person11_23.jpg","","FALSE"
"248","543","497","1062","0.13212","cupcakePaper","Person11","Person11_20","MC2-Image-Data/Person11/Person11_20.jpg","","FALSE"
"2676","855","2647","1686","0.0626","giftBag","Person11","Person11_8","MC2-Image-Data/Person11/Person11_8.jpg","","FALSE"
"1467","874","2935","1747","0.07565","giftBag","Person11","Person11_2","MC2-Image-Data/Person11/Person11_2.jpg","","FALSE"
"2957","568","1481","1126","0.13236","plaidPencil","Person11","Person11_13","MC2-Image-Data/Person11/Person11_13.jpg","","FALSE"
"3850","1546","289","473","0.07326","rainbowPens","Person11","Person11_27","MC2-Image-Data/Person11/Person11_27.jpg","","FALSE"
"142","129","261","234","0.12408","hairClip","Person11","Person11_4","MC2-Image-Data/Person11/Person11_4.jpg","","FALSE"
"2060","912","3830","1774","0.23203","giftBag","Person11","Person11_21","MC2-Image-Data/Person11/Person11_21.jpg","","FALSE"
"1553","1058","580","289","0.05897","metalKey","Person11","Person11_28","MC2-Image-Data/Person11/Person11_28.jpg","","FALSE"
"1567","1067","564","268","0.07126","partyFavor","Person11","Person11_28","MC2-Image-Data/Person11/Person11_28.jpg","","TRUE"
"702","703","1381","1405","0.07788","sign","Person11","Person11_10","MC2-Image-Data/Person11/Person11_10.jpg","","FALSE"
"2835","903","2314","1747","0.57305","giftBag","Person11","Person11_10","MC2-Image-Data/Person11/Person11_10.jpg","","FALSE"
"2636","893","2663","1729","0.06608","giftBag","Person11","Person11_15","MC2-Image-Data/Person11/Person11_15.jpg","","FALSE"
"63","266","118","516","0.06507","partyFavor","Person11","Person11_22","MC2-Image-Data/Person11/Person11_22.jpg","","FALSE"
"2440","876","3119","1753","0.11336","vancouverCards","Person11","Person11_16","MC2-Image-Data/Person11/Person11_16.jpg","","FALSE"
"2526","874","2925","1740","0.56912","giftBag","Person11","Person11_7","MC2-Image-Data/Person11/Person11_7.jpg","","FALSE"
"2123","889","3641","1778","0.56513","giftBag","Person11","Person11_6","MC2-Image-Data/Person11/Person11_6.jpg","","FALSE"
"93","342","187","682","0.10572","partyFavor","Person11","Person11_19","MC2-Image-Data/Person11/Person11_19.jpg","","FALSE"
"1648","887","3275","1776","0.05316","giftBag","Person11","Person11_1","MC2-Image-Data/Person11/Person11_1.jpg","","FALSE"
"2094","898","3768","1798","0.56966","giftBag","Person11","Person11_5","MC2-Image-Data/Person11/Person11_5.jpg","","TRUE"
"866","2303","537","3247","0.39339","silverStraw","Person10","Person10_21","MC2-Image-Data/Person10/Person10_21.jpg","","FALSE"
"1961","508","3125","558","0.38382","silverStraw","Person10","Person10_25","MC2-Image-Data/Person10/Person10_25.jpg","","FALSE"
"1942","1468","1538","974","0.05454","voiceRecorder","Person10","Person10_17","MC2-Image-Data/Person10/Person10_17.jpg","","FALSE"
"798","926","805","855","0.49968","partyFavor","Person10","Person10_20","MC2-Image-Data/Person10/Person10_20.jpg","","TRUE"
"1138","3180","2221","1670","0.19117","cactusPaper","Person10","Person10_13","MC2-Image-Data/Person10/Person10_13.jpg","","TRUE"
"2525","1465","2958","2929","0.26273","sign","Person10","Person10_5","MC2-Image-Data/Person10/Person10_5.jpg","","FALSE"
"2186","2734","1228","1108","0.51982","partyFavor","Person10","Person10_1","MC2-Image-Data/Person10/Person10_1.jpg","","TRUE"
"1439","2882","581","997","0.90657","voiceRecorder","Person10","Person10_1","MC2-Image-Data/Person10/Person10_1.jpg","","TRUE"
"2475","1953","1097","1521","0.17008","cupcakePaper","Person10","Person10_19","MC2-Image-Data/Person10/Person10_19.jpg","","FALSE"
"1229","1749","946","805","0.76492","voiceRecorder","Person10","Person10_19","MC2-Image-Data/Person10/Person10_19.jpg","","TRUE"
"671","170","1029","321","0.74708","voiceRecorder","Person10","Person10_18","MC2-Image-Data/Person10/Person10_18.jpg","","FALSE"
"2187","2604","417","415","0.05824","lavenderDie","Person10","Person10_7","MC2-Image-Data/Person10/Person10_7.jpg","","FALSE"
"1138","3180","2221","1670","0.19117","cactusPaper","Person10","Person10_2","MC2-Image-Data/Person10/Person10_2.jpg","","TRUE"
"1513","1995","546","3591","0.6636","plaidPencil","Person10","Person10_16","MC2-Image-Data/Person10/Person10_16.jpg","","TRUE"
"1827","1865","1706","2218","0.89559","cactusPaper","Person10","Person10_12","MC2-Image-Data/Person10/Person10_12.jpg","","TRUE"
"3726","344","577","674","0.13811","rainbowPens","Person10","Person10_6","MC2-Image-Data/Person10/Person10_6.jpg","","FALSE"
"1716","3295","897","1111","0.89627","miniCards","Person10","Person10_24","MC2-Image-Data/Person10/Person10_24.jpg","","TRUE"
"2515","2043","1017","3666","0.05722","spiderRing","Person10","Person10_10","MC2-Image-Data/Person10/Person10_10.jpg","","FALSE"
"390","2325","770","2603","0.05777","redDart","Person10","Person10_10","MC2-Image-Data/Person10/Person10_10.jpg","","FALSE"
"1967","1939","2516","1746","0.77222","rainbowPens","Person3","Person3_8","MC2-Image-Data/Person3/Person3_8.jpg","","TRUE"
"1989","747","2456","1119","0.91347","pumpkinNotes","Person3","Person3_8","MC2-Image-Data/Person3/Person3_8.jpg","","TRUE"
"2466","926","3067","1824","0.28152","giftBag","Person3","Person3_11","MC2-Image-Data/Person3/Person3_11.jpg","","TRUE"
"612","2882","1225","236","0.40886","glassBead","Person3","Person3_11","MC2-Image-Data/Person3/Person3_11.jpg","","FALSE"
"1968","1511","2927","2243","0.64335","giftBag","Person3","Person3_12","MC2-Image-Data/Person3/Person3_12.jpg","","TRUE"
"2129","1346","1743","1488","0.08385","gyroscope","Person3","Person3_22","MC2-Image-Data/Person3/Person3_22.jpg","","FALSE"
"2115","1350","1716","1473","0.10258","turtle","Person3","Person3_22","MC2-Image-Data/Person3/Person3_22.jpg","","TRUE"
"2125","1338","1719","1491","0.10731","redBow","Person3","Person3_22","MC2-Image-Data/Person3/Person3_22.jpg","","FALSE"
"93","104","129","174","0.54391","yellowBag","Person3","Person3_25","MC2-Image-Data/Person3/Person3_25.jpg","","TRUE"
"1720","1499","2199","2402","0.75089","yellowBalloon","Person3","Person3_17","MC2-Image-Data/Person3/Person3_17.jpg","","TRUE"
"1944","1374","2395","2120","0.663","yellowBalloon","Person3","Person3_18","MC2-Image-Data/Person3/Person3_18.jpg","","TRUE"
"2921","1812","1298","2094","0.06382","yellowBalloon","Person3","Person3_14","MC2-Image-Data/Person3/Person3_14.jpg","","TRUE"
"2926","1824","1314","2094","0.06561","birdCall","Person3","Person3_14","MC2-Image-Data/Person3/Person3_14.jpg","","FALSE"
"2041","1497","2298","2489","0.82483","yellowBalloon","Person3","Person3_20","MC2-Image-Data/Person3/Person3_20.jpg","","TRUE"
"1842","1460","2291","2006","0.26765","glassBead","Person3","Person3_5","MC2-Image-Data/Person3/Person3_5.jpg","","FALSE"
"1810","1464","2289","1983","0.3467","sign","Person3","Person3_5","MC2-Image-Data/Person3/Person3_5.jpg","","FALSE"
"286","1560","544","2880","0.06062","rainbowPens","Person3","Person3_23","MC2-Image-Data/Person3/Person3_23.jpg","","TRUE"
"274","1471","549","2889","0.07498","sign","Person3","Person3_23","MC2-Image-Data/Person3/Person3_23.jpg","","FALSE"
"279","1454","558","2853","0.53128","cowbell","Person3","Person3_23","MC2-Image-Data/Person3/Person3_23.jpg","","TRUE"
"2580","1622","1810","1913","0.93175","pumpkinNotes","Person3","Person3_23","MC2-Image-Data/Person3/Person3_23.jpg","","TRUE"
"950","1424","608","2723","0.85905","rainbowPens","Person3","Person3_7","MC2-Image-Data/Person3/Person3_7.jpg","","TRUE"
"2087","1112","1339","1391","0.94769","pumpkinNotes","Person3","Person3_7","MC2-Image-Data/Person3/Person3_7.jpg","","TRUE"
"1976","1500","3953","3000","0.12094","paperPlate","Person3","Person3_24","MC2-Image-Data/Person3/Person3_24.jpg","","FALSE"
"2000","1500","4000","3000","0.30741","pumpkinNotes","Person3","Person3_24","MC2-Image-Data/Person3/Person3_24.jpg","","FALSE"
"1734","1206","1916","2022","0.19191","birdCall","Person3","Person3_4","MC2-Image-Data/Person3/Person3_4.jpg","","FALSE"
"183","1717","366","960","0.10003","glassBead","Person3","Person3_2","MC2-Image-Data/Person3/Person3_2.jpg","","TRUE"
"1629","1757","3215","2391","0.34364","yellowBalloon","Person3","Person3_2","MC2-Image-Data/Person3/Person3_2.jpg","","TRUE"
"3731","1592","538","1062","0.39407","glassBead","Person3","Person3_2","MC2-Image-Data/Person3/Person3_2.jpg","","TRUE"
"2925","1456","2149","2223","0.09808","rainbowPens","Person3","Person3_10","MC2-Image-Data/Person3/Person3_10.jpg","","TRUE"
"1626","1175","2635","1830","0.37899","rainbowPens","Person3","Person3_10","MC2-Image-Data/Person3/Person3_10.jpg","","TRUE"
"2195","1470","1996","1320","0.12744","voiceRecorder","Person3","Person3_3","MC2-Image-Data/Person3/Person3_3.jpg","","FALSE"
"2200","1466","2120","1301","0.90504","glassBead","Person3","Person3_3","MC2-Image-Data/Person3/Person3_3.jpg","","TRUE"
"1880","1240","1767","1884","0.94444","cowbell","Person3","Person3_6","MC2-Image-Data/Person3/Person3_6.jpg","","TRUE"
"3194","1833","1247","1164","0.10438","rainbowPens","Person3","Person3_9","MC2-Image-Data/Person3/Person3_9.jpg","","TRUE"
"3076","613","460","528","0.22928","hairClip","Person3","Person3_15","MC2-Image-Data/Person3/Person3_15.jpg","","FALSE"
"2030","1550","3253","1739","0.13148","cowbell","Person3","Person3_13","MC2-Image-Data/Person3/Person3_13.jpg","","FALSE"
"2247","1502","2798","2663","0.66632","yellowBalloon","Person3","Person3_19","MC2-Image-Data/Person3/Person3_19.jpg","","TRUE"
"1497","2586","2039","1931","0.87658","yellowBalloon","Person3","Person3_21","MC2-Image-Data/Person3/Person3_21.jpg","","TRUE"
"2827","2583","1253","881","0.39298","gClamp","Person23","Person23_13","MC2-Image-Data/Person23/Person23_13.jpg","","TRUE"
"1911","1545","2298","1778","0.22769","glassBead","Person23","Person23_1","MC2-Image-Data/Person23/Person23_1.jpg","","TRUE"
"1209","1796","392","1302","0.31438","pinkCandle","Person23","Person23_64","MC2-Image-Data/Person23/Person23_64.jpg","","FALSE"
"305","1718","586","1827","0.06042","cupcakePaper","Person23","Person23_32","MC2-Image-Data/Person23/Person23_32.jpg","","FALSE"
"2986","1421","2089","2006","0.07078","redBow","Person23","Person23_31","MC2-Image-Data/Person23/Person23_31.jpg","","FALSE"
"2989","1434","2020","2045","0.07892","redDart","Person23","Person23_31","MC2-Image-Data/Person23/Person23_31.jpg","","FALSE"
"2994","1361","2076","1930","0.0964","metalKey","Person23","Person23_31","MC2-Image-Data/Person23/Person23_31.jpg","","FALSE"
"1930","2294","1656","1132","0.39918","redWhistle","Person23","Person23_31","MC2-Image-Data/Person23/Person23_31.jpg","","TRUE"
"2085","1606","1578","1651","0.60956","cupcakePaper","Person23","Person23_82","MC2-Image-Data/Person23/Person23_82.jpg","","TRUE"
"1925","1340","3792","2679","0.13408","vancouverCards","Person23","Person23_20","MC2-Image-Data/Person23/Person23_20.jpg","","FALSE"
"3208","1145","731","393","0.20029","redWhistle","Person23","Person23_20","MC2-Image-Data/Person23/Person23_20.jpg","","TRUE"
"1556","2705","1078","638","0.19592","redDart","Person23","Person23_73","MC2-Image-Data/Person23/Person23_73.jpg","","TRUE"
"1160","1100","852","914","0.85074","cupcakePaper","Person23","Person23_73","MC2-Image-Data/Person23/Person23_73.jpg","","TRUE"
"2116","1827","2343","1732","0.47681","cupcakePaper","Person23","Person23_80","MC2-Image-Data/Person23/Person23_80.jpg","","TRUE"
"1690","2128","703","1081","0.89375","gClamp","Person23","Person23_16","MC2-Image-Data/Person23/Person23_16.jpg","","TRUE"
"890","89","1739","171","0.05317","partyFavor","Person23","Person23_33","MC2-Image-Data/Person23/Person23_33.jpg","","FALSE"
"2541","1413","2295","2810","0.2354","rainbowPens","Person23","Person23_72","MC2-Image-Data/Person23/Person23_72.jpg","","TRUE"
"2397","2150","1723","1420","0.38638","metalKey","Person23","Person23_72","MC2-Image-Data/Person23/Person23_72.jpg","","FALSE"
"1931","1563","1914","1365","0.64541","cupcakePaper","Person23","Person23_77","MC2-Image-Data/Person23/Person23_77.jpg","","TRUE"
"2833","1895","2197","1465","0.83234","rainbowPens","Person23","Person23_44","MC2-Image-Data/Person23/Person23_44.jpg","","TRUE"
"1685","1837","1314","1385","0.78698","cupcakePaper","Person23","Person23_81","MC2-Image-Data/Person23/Person23_81.jpg","","TRUE"
"1410","1479","1519","2080","0.83122","cupcakePaper","Person23","Person23_76","MC2-Image-Data/Person23/Person23_76.jpg","","TRUE"
"1583","989","1040","901","0.41267","gClamp","Person23","Person23_15","MC2-Image-Data/Person23/Person23_15.jpg","","TRUE"
"1081","125","1868","242","0.06583","partyFavor","Person23","Person23_61","MC2-Image-Data/Person23/Person23_61.jpg","","FALSE"
"2947","119","1638","217","0.11247","partyFavor","Person23","Person23_61","MC2-Image-Data/Person23/Person23_61.jpg","","FALSE"
"1295","2295","237","245","0.81967","lavenderDie","Person23","Person23_61","MC2-Image-Data/Person23/Person23_61.jpg","","TRUE"
"1628","1179","434","405","0.05877","brownDie","Person23","Person23_50","MC2-Image-Data/Person23/Person23_50.jpg","","TRUE"
"1872","1084","3394","677","0.08264","rainbowPens","Person23","Person23_46","MC2-Image-Data/Person23/Person23_46.jpg","","TRUE"
"2505","1162","522","1807","0.28581","rainbowPens","Person23","Person23_36","MC2-Image-Data/Person23/Person23_36.jpg","","TRUE"
"1293","1630","1588","212","0.5618","rainbowPens","Person23","Person23_41","MC2-Image-Data/Person23/Person23_41.jpg","","TRUE"
"2393","1235","2024","2432","0.22588","metalKey","Person23","Person23_21","MC2-Image-Data/Person23/Person23_21.jpg","","FALSE"
"1920","2354","3525","1338","0.29488","cupcakePaper","Person23","Person23_78","MC2-Image-Data/Person23/Person23_78.jpg","","FALSE"
"1630","1522","3005","2852","0.05294","turtle","Person23","Person23_56","MC2-Image-Data/Person23/Person23_56.jpg","","TRUE"
"1178","1836","415","341","0.71362","brownDie","Person23","Person23_54","MC2-Image-Data/Person23/Person23_54.jpg","","TRUE"
"2148","1272","1370","1411","0.8364","cupcakePaper","Person23","Person23_74","MC2-Image-Data/Person23/Person23_74.jpg","","TRUE"
"3469","1511","532","2957","0.11475","silverStraw","Person23","Person23_70","MC2-Image-Data/Person23/Person23_70.jpg","","FALSE"
"2250","109","832","217","0.2242","eyeball","Person23","Person23_58","MC2-Image-Data/Person23/Person23_58.jpg","","FALSE"
"2016","1512","4032","3024","0.06562","carabiner","Person23","Person23_65","MC2-Image-Data/Person23/Person23_65.jpg","","FALSE"
"1522","1428","1856","1907","0.76555","cupcakePaper","Person23","Person23_83","MC2-Image-Data/Person23/Person23_83.jpg","","TRUE"
"2484","1532","1805","2983","0.21362","vancouverCards","Person23","Person23_52","MC2-Image-Data/Person23/Person23_52.jpg","","FALSE"
"1788","1315","297","299","0.72462","lavenderDie","Person23","Person23_52","MC2-Image-Data/Person23/Person23_52.jpg","","TRUE"
"1782","1309","310","292","0.74424","brownDie","Person23","Person23_52","MC2-Image-Data/Person23/Person23_52.jpg","","TRUE"
"955","2673","1420","696","0.38323","eyeball","Person23","Person23_47","MC2-Image-Data/Person23/Person23_47.jpg","","FALSE"
"981","2676","1438","694","0.46567","hairClip","Person23","Person23_47","MC2-Image-Data/Person23/Person23_47.jpg","","FALSE"
"2705","1485","2652","2813","0.43304","birdCall","Person23","Person23_17","MC2-Image-Data/Person23/Person23_17.jpg","","FALSE"
"2666","1504","2730","2837","0.52817","gClamp","Person23","Person23_17","MC2-Image-Data/Person23/Person23_17.jpg","","TRUE"
"1591","1237","327","258","0.87605","brownDie","Person23","Person23_55","MC2-Image-Data/Person23/Person23_55.jpg","","TRUE"
"1297","1488","2584","2977","0.8551","giftBag","Person23","Person23_63","MC2-Image-Data/Person23/Person23_63.jpg","","TRUE"
"3570","1028","340","305","0.39834","brownDie","Person23","Person23_57","MC2-Image-Data/Person23/Person23_57.jpg","","TRUE"
"3367","1512","1327","3024","0.22662","plaidPencil","Person23","Person23_53","MC2-Image-Data/Person23/Person23_53.jpg","","FALSE"
"1444","2381","371","315","0.5524","brownDie","Person23","Person23_53","MC2-Image-Data/Person23/Person23_53.jpg","","TRUE"
"3971","2929","120","189","0.0768","lavenderDie","Person23","Person23_60","MC2-Image-Data/Person23/Person23_60.jpg","","FALSE"
"1523","1501","3046","2983","0.07751","sign","Person23","Person23_60","MC2-Image-Data/Person23/Person23_60.jpg","","FALSE"
"2722","1606","629","491","0.84288","brownDie","Person23","Person23_60","MC2-Image-Data/Person23/Person23_60.jpg","","TRUE"
"58","2909","106","228","0.05888","brownDie","Person23","Person23_3","MC2-Image-Data/Person23/Person23_3.jpg","","FALSE"
"1114","279","1997","558","0.07073","sign","Person23","Person23_39","MC2-Image-Data/Person23/Person23_39.jpg","","FALSE"
"3089","2212","655","517","0.29244","hairClip","Person23","Person23_49","MC2-Image-Data/Person23/Person23_49.jpg","","FALSE"
"1485","1167","2969","2336","0.67221","vancouverCards","Person23","Person23_49","MC2-Image-Data/Person23/Person23_49.jpg","","TRUE"
"3080","2218","674","517","0.81847","brownDie","Person23","Person23_49","MC2-Image-Data/Person23/Person23_49.jpg","","TRUE"
"2745","1786","2153","1368","0.89942","rainbowPens","Person23","Person23_43","MC2-Image-Data/Person23/Person23_43.jpg","","TRUE"
"3358","86","708","167","0.18864","partyFavor","Person23","Person23_38","MC2-Image-Data/Person23/Person23_38.jpg","","FALSE"
"1548","2889","1338","268","0.20551","hairRoller","Person23","Person23_38","MC2-Image-Data/Person23/Person23_38.jpg","","FALSE"
"1467","1058","2809","2102","0.42869","sign","Person23","Person23_18","MC2-Image-Data/Person23/Person23_18.jpg","","FALSE"
"877","1859","1299","2215","0.05177","redDart","Person23","Person23_29","MC2-Image-Data/Person23/Person23_29.jpg","","FALSE"
"900","1845","1262","2217","0.1549","redWhistle","Person23","Person23_29","MC2-Image-Data/Person23/Person23_29.jpg","","TRUE"
"903","1852","1287","2204","0.21652","redBow","Person23","Person23_29","MC2-Image-Data/Person23/Person23_29.jpg","","FALSE"
"757","1792","253","831","0.08856","pinkCandle","Person23","Person23_62","MC2-Image-Data/Person23/Person23_62.jpg","","FALSE"
"2098","1512","3740","3024","0.31309","giftBag","Person23","Person23_62","MC2-Image-Data/Person23/Person23_62.jpg","","FALSE"
"455","1003","748","619","0.83735","brownDie","Person23","Person23_48","MC2-Image-Data/Person23/Person23_48.jpg","","TRUE"
